1318,B
1320,C
1321,A
1325,A
1326,B
1327,C
1328,C
1329,B
1330,A
1331,B
1332,A
1333,C
1334,C
1335,A
1336,B
1337,C
1338,C
1339,A
1340,B
1341,B
1342,C
1343,A
1344,A
1345,A
1346,B
1347,C
1348,B
1349,C
1383,A
1385,B
1388,A
1389,B
1397,B
1398,A
1401,A
1402,C
1403,C
1404,A
1405,C
1406,B
1407,A
1408,B
1409,A
1410,B
1411,C
1412,C
1413,B
1414,A
1415,B
1416,A
1417,B
1418,C
1419,C
1420,A
1421,A
1422,B
1423,B
1424,C
1425,A
1426,B
1427,C
1428,A
1429,B
1430,C
1501,A
1502,B
1503,C
1504,B
1505,A
1506,C
1512,C
1516,A
1520,B
1521,A
1535,A
1536,B
1537,C
1538,A
1539,B
1540,C
1543,C
1544,A
1545,B
1546,C
1550,A
1551,B
1552,C
1553,B
1602,A
1603,B
1604,A
1605,B
1607,C
1608,C
1609,A
1622,A
1625,A
1626,C
1627,C
1630,B
1637,A
1638,B
1639,A
1640,A
1641,B
1642,C
1643,C
1644,B
1645,C
1655,A
1656,B
1657,C
1658,A
1659,B
1660,C
1661,C
1662,B
1663,B
1664,A
1665,B
1666,C
1667,B
1668,A
1673,A
1674,B
1675,C
1676,A
1677,B
1678,C
1679,A
1680,B
1682,A
1683,B
1684,C
1701,A
1702,B
1703,C
1704,C
1705,C
1706,A
1707,C
1708,B
1709,A
1710,C
1711,A
1712,B
1714,C
1715,B
1716,C
1717,B
1718,A
1719,A
1720,B
1721,C
1722,C
1723,B
1724,A
1725,A
1731,B
1735,B
1736,B
1737,C
1738,A
1739,A
1801,A
1802,B
1804,A
1805,B
1806,C
1813,A
1814,B
1815,C
1821,C
1825,A
1826,B
1827,C
1831,A
1832,B
1833,C
1834,A
1835,B
1836,C
1837,A
1838,B
1839,C
1855,A
1856,B
1857,C
1858,A
1859,B
1860,C
1861,A
1862,B
1863,C
1864,A
1865,B
1866,C
1872,A
1873,B
1877,A
1878,B
1879,C
1880,A
1881,B
1882,C
1886,A
1887,B
1888,C
1899,A
1901,B
1902,C
1903,B
1904,C
1905,B
1906,C
1907,A
1908,B
1909,C
1910,A
1911,A
1912,A
1913,B
1914,C
1915,A
1916,C
1917,A
1918,B
1925,A
1926,B
1927,C
1928,B
1929,C
1930,A
1931,C
1932,A
1933,B
1934,C
1935,A
1936,B
1937,C
1938,A
1939,B
1940,C
1941,A
1942,B
1943,C
1944,A
1945,B
1955,B
1956,C
1957,A
1958,B
1959,C
1960,A
1966,A
1980,A
1981,B
1982,C
1983,A
1984,B
1985,C
2100,A
2101,B
2102,C
2103,A
2104,B
2105,C
2112,A
2113,B
2114,C
2115,A
2116,B
2117,C
2118,A
2119,B
2120,C
2128,A
2129,B
2130,C
2131,A
2132,B
2133,C
2134,A
2135,B
2136,C
2137,A
2138,B
2139,C
2147,A
2148,B
2149,C
2153,A
2154,B
2155,C
2156,A
2157,B
2158,C
2165,A
2166,B
2167,C
2177,C
2178,B
2179,A
2184,C
2186,B
2187,A
2188,B
2189,C
2190,A
2191,C
2192,B
2196,A
2197,C
2198,B
2199,A
2200,C
2201,B
2202,A
2203,C
2204,B
2205,A
2206,A
2207,C
2208,B
2209,A
2212,A
2213,B
2214,C
2232,C
2233,B
2234,A
2235,C
2236,B
2237,A
2900,A
2917,B
2919,A
2921,C
1416,A
1417,B
1418,C
1965,A
1900,A
2193,A
2194,B
2195,C
2193,A
2194,B
2195,C
2916,A
2918,C
2920,B
2916,A
2918,C
2920,B
2910,A
2911,B
2912,C
2910,A
2911,B
2912,C
2913,A
2914,B
2915,C
2913,A
2914,B
2915,C
2182,A
2183,B
